@relation answerExp1
@attribute AnswerType STRING
@attribute Question STRING
@data
"HUM:ind" , "what contemptible scoundrel stole the cork from my lunch" 
"HUM:ind" , "name the bounty hunter of the old west" 
"NUM:date" , "when was ozzy osbourne born" 
"HUM:ind" , "who was the pride of the yankees" 
"HUM:ind" , "who killed gandhi" 
"LOC:state" , "what sprawling state boasts the most airports" 
"NUM:count" , "how many jews were executed in concentration camps during wwii" 
"NUM:date" , "what is the date of boxing day" 
"HUM:ind" , "name famous martyrs" 
"HUM:ind" , "who was the inventor of silly putty" 
"LOC:other" , "what is the highest waterfall in the united states" 
"LOC:state" , "which two states enclose chesapeake bay" 
"NUM:count" , "how many points make up a perfect fivepin bowling score" 
"NUM:count" , "how many community chest cards are there in monopoly" 
"NUM:date" , "when did the neanderthal man live" 
"LOC:other" , "where do the adventures of the swiss family robinson take place" 
"NUM:count" , "how many people in the world speak french" 
"NUM:count" , "how many inches over six feet is the venus de milo" 
"HUM:ind" , "what cowboy star rode tony the wonder horse" 
"LOC:country" , "what country do the galapagos islands belong to" 
"HUM:ind" , "who was the prophet of the muslim people" 
"HUM:ind" , "who is snoopy" 
"LOC:state" , "what state lived under six flags" 
"LOC:other" , "where is the loop" 
"LOC:country" , "what country capital is tirana" 
"HUM:ind" , "who do herb and tootsie live next door to" 
"LOC:city" , "which city has the oldest relationship as a sisterðcity with los angeles" 
"LOC:other" , "what are the names of the tourist attractions in reims" 
"LOC:other" , "what body of water does the danube river flow into" 
"HUM:ind" , "who is the founder of scientology" 
"HUM:ind" , "who starred in singing in the rain and the singing nun" 
"HUM:ind" , "what painter died in the marquesas islands" 
"LOC:country" , "what country did the nazis occupy for cd nns in nnp nnp nnp" 
"NUM:count" , "how many species of the great white shark are there" 
"LOC:state" , "what is the nickname for the state of mississippi" 
"NUM:count" , "how many villi are found in the small intestine" 
"LOC:country" , "what country did king wenceslas rule" 
"HUM:ind" , "who were the five marx brothers" 
"NUM:date" , "in which year was new zealand excluded from the anzus alliance" 
"NUM:date" , "when did cnn begin broadcasting" 
"NUM:date" , "when did rococo painting and architecture flourish" 
"LOC:country" , "what country national passenger rail system is called via" 
"HUM:ind" , "who invented" 
"HUM:ind" , "which of the following was rhodes scholar" 
"HUM:ind" , "who comprised the comic book team known as the champions" 
"LOC:state" , "what state is fort knox in" 
"LOC:mount" , "where is the highest point in japan" 
"LOC:other" , "where does barney rubble go to work after he drops fred off in the flintstones cartoon series" 
"LOC:other" , "what are the world four oceans" 
"LOC:other" , "where on the internet can i find a song lyrics database similar to the international lyrics server" 
"NUM:money" , "how much money does a back injury lawsuit get" 
"LOC:other" , "where can i find a list of classic books and graders should read" 
"NUM:period" , "how long does it take for your blood to make one complete trip through the body" 
"HUM:ind" , "what crooner joined the andrews sisters for pistol packin mama" 
"NUM:date" , "when did the bounty mutiny take place" 
"NUM:money" , "how much would it cost to purchase a party tent with sides" 
"HUM:ind" , "what actress has received the most oscar nominations" 
"NUM:count" , "how many years do fossils take to form" 
"LOC:other" , "where is the orinoco" 
"LOC:city" , "what city boasts penn landing on the banks of the delaware river" 
"NUM:count" , "how many hostages were killed in the entebbe raid" 
"HUM:ind" , "who earns their money the hard way" 
"HUM:ind" , "who founded the people temple commune" 
"HUM:ind" , "what athlete makes the most money from sports merchandise sales" 
"NUM:count" , "how many bends are there in a standard paper clip" 
"HUM:ind" , "who discovered electricity" 
"HUM:ind" , "who was the first american in space" 
"LOC:country" , "what two south american countries do border brazil" 
"NUM:date" , "what is the busiest air travel season" 
"LOC:other" , "where is the rose bowl played" 
"HUM:ind" , "who is the mayor of marbella" 
"LOC:other" , "what wide valley is just north of the mojave desert" 
"NUM:date" , "in what year did thatcher become prime minister" 
"NUM:count" , "how many months does it take the moon to revolve around the earth" 
"LOC:other" , "where are the steps" 
"NUM:date" , "in what year was de gaulle elected president of france" 
"HUM:ind" , "who sings the themes for dawson creek and felicity" 
"HUM:ind" , "who directed jaws" 
"NUM:count" , "how many colonies were involved in the american revolution" 
"LOC:city" , "what is the name of the city that maurizio pellegrin lives in" 
"LOC:other" , "where can i find pictorial directions on how to build a very simple treehouse" 
"HUM:ind" , "what is the name of the managing director of apricot computer" 
"NUM:date" , "what are the three winter months in the southern hemisphere" 
"LOC:country" , "what country contains africa northernmost point" 
"LOC:other" , "where is the kalahari desert" 
"LOC:city" , "what city is sometimes called gotham" 
"HUM:ind" , "who created dennis the menace" 
"HUM:ind" , "what dummy received an honorary degree from northwestern university" 
"NUM:date" , "when was the first wall street journal published" 
"LOC:country" , "what countries have the largest areas of forest" 
"HUM:ind" , "name alvin brothers" 
"NUM:date" , "when did the royal wedding of prince andrew and fergie take place" 
"HUM:ind" , "what actor said in a day at the races either he dead or my watch has stopped" 
"HUM:ind" , "what explorer was nicknamed iberia pilot" 
"NUM:date" , "cnn began broadcasting in what year" 
"LOC:city" , "what south american city has the world highest commercial landing field" 
"NUM:count" , "how many species of sharks are there" 
"NUM:count" , "how many people are there in the world" 
"NUM:volsize" , "what is the acreage of the chappellet vineyard" 
"NUM:date" , "when did beethoven die" 
"NUM:money" , "how much does a new railroad coal car cost" 
"LOC:country" , "what two european countries entered the war of american independence against the british" 
"HUM:ind" , "what russian composer prelude in c sharp minor brought him fame and fortune" 
"HUM:ind" , "who was the mother of the man who would not be king the duke of windsor" 
"NUM:count" , "how many revolutions does a standard lp make in three minutes" 
"LOC:mount" , "what is the name of the tallest mountain in the world" 
"LOC:other" , "where can i find a review of nightmare on elm street in a film journal" 
"HUM:ind" , "what was the name of the first russian astronaut to do a spacewalk" 
"NUM:count" , "how many south american countries have the letter z in their names" 
"LOC:other" , "where was george washington born" 
"NUM:count" , "how many people on the ground were killed from the bombing of pan am flight over lockerbie scotland december cd" 
"HUM:ind" , "who wrote nn dt nnp nnp" 
"NUM:date" , "when was the first steel mill in the united states built" 
"HUM:ind" , "what diminutive american female gymnast stole the show at the olympics" 
"NUM:date" , "when did the berlin wall go up" 
"LOC:other" , "what las vegas hotel burned in november with the loss of lives" 
"NUM:date" , "when did mount helen last have a significant eruption" 
"NUM:date" , "when did world war i start" 
"NUM:count" , "how many feet are there in a fathom" 
"LOC:city" , "what european city do nicois live in" 
"HUM:ind" , "who was president of afghanistan in" 
"HUM:ind" , "who was the lead actress in the movie sleepless in seattle" 
"HUM:ind" , "who was the president of the united states" 
"HUM:ind" , "who are the two sons of ozzie and harriet nelson" 
"NUM:date" , "when is boxing day" 
"NUM:date" , "when was the battle of the somme fought" 
"NUM:count" , "how many people did randy craft kill" 
"NUM:date" , "when did spielberg direct jaws" 
"NUM:volsize" , "what is the size of the largest akita" 
"LOC:city" , "what is california capital" 
"HUM:ind" , "who was the author of the book about computer hackers called the cuckoo egg tracking a spy through the maze of computer espionage" 
"HUM:ind" , "who was the founding member of the pink floyd band" 
"LOC:country" , "what european country is home to the city of budweis" 
"LOC:other" , "where was christopher columbus born" 
"LOC:other" , "what sea did the romans call mare nostrum" 
"LOC:city" , "what city did the flintstones live in" 
"HUM:ind" , "which doonesbury character was likely to turn into a werewolf" 
"LOC:other" , "what stadium do the miami dolphins play their home games in" 
"HUM:ind" , "who has the only speaking role in silent movie" 
"NUM:other" , "what was einstein iq" 
"NUM:date" , "what day was pearl harbor attacked in" 
"HUM:ind" , "what girl name is teddy an affectionate form of" 
"LOC:state" , "what state is john kennedy buried in" 
"LOC:state" , "what state has an element named for it" 
"NUM:count" , "how many years ago did the ship titanic sink" 
"LOC:other" , "what is the deepest area of the arctic ocean" 
"NUM:other" , "what is the latitude and longitude of el paso texas" 
"HUM:ind" , "who made a boat out of gopher wood" 
"LOC:other" , "where can i find a fifth element screensaver" 
"HUM:ind" , "which bloom county resident wreaks havoc with a computer" 
"NUM:other" , "what is the normal resting heart rate of a healthy adult" 
"NUM:other" , "what is the population of ohio" 
"NUM:count" , "how many calories are there in a big mac" 
"HUM:ind" , "what part did john peter zenger play in the deveopment of the newspaper in america" 
"HUM:ind" , "who followed caesar" 
"HUM:ind" , "who was the first woman golfer to earn a million" 
"LOC:other" , "what is address" 
"LOC:other" , "where can i buy movies on videotape online" 
"HUM:ind" , "who does the advertizing for" 
"HUM:ind" , "who invented the radio" 
"NUM:count" , "what the american dollar equivalent for pounds in the" 
"HUM:ind" , "who is the man behind the man who pulls the strings and speaks for miss piggy" 
"NUM:speed" , "what is the speed of the mississippi river" 
"HUM:ind" , "what actor first portrayed james bond" 
"LOC:other" , "what ocean is the largest in the world" 
"HUM:ind" , "who was the first american poet to win the nobel prize for literature in" 
"NUM:date" , "what year did jack nicklaus join the professional golfers association tour" 
"NUM:count" , "how many sonnets did shakespeare write" 
"HUM:ind" , "who won the nobel peace prize in" 
"LOC:city" , "which city did christian crusaders fight to recapture from the muslims" 
"HUM:ind" , "who was the first coach of the cleveland browns" 
"NUM:speed" , "what is the speed of the mississippi river" 
"HUM:ind" , "who said of super bowl iii in we i guarantee it" 
"HUM:ind" , "who declared i am down on whores and i shan stop ripping them" 
"LOC:other" , "where does chocolate come from" 
"HUM:ind" , "what soviet leader owned a" 
"LOC:other" , "where can i find a case on individuals with disabilities education act of" 
"HUM:ind" , "who wrote the song stardust" 
"NUM:count" , "how many beatles records went" 
"HUM:ind" , "who is the only prime minister of canada to serve years but not necessarily consecutively" 
"LOC:mount" , "what mountains lie between the arkansas and missouri rivers" 
"HUM:ind" , "who received the will rogers award in" 
"LOC:other" , "what the closest spectrum yellow dwarf to earth" 
"NUM:count" , "how many equal angles are there in an isosceles triangle" 
"HUM:ind" , "what was the name of the lawyer who represented randy craft" 
"HUM:ind" , "what united states president had dreamed that he was assassinated" 
"LOC:other" , "where is basque country located" 
"NUM:date" , "what time of day did emperor hirohito die" 
"NUM:count" , "how many years did it take james joyce to write ulysses" 
"LOC:city" , "what south korean city is served by kimpo international airport" 
"NUM:count" , "how many types of dogs tails are there three" 
"NUM:other" , "what is the quantity of american soldiers still unaccounted for from the vietnam war" 
"LOC:mount" , "what was the highest mountain on earth before mount everest was discovered" 
"LOC:other" , "where was the ligurian republic" 
"LOC:country" , "what country people are the top television watchers" 
"NUM:date" , "when was the women suffrage amendment ratified" 
"LOC:city" , "what nevada center has been dubbed the biggest little city in the world" 
"HUM:ind" , "what president lived at north delaware street independence missouri" 
"LOC:other" , "where must a soccer goalie stand to be permitted to handle the ball" 
"LOC:state" , "in what state was the first woman governor elected" 
"NUM:date" , "what year did hitler die" 
"HUM:ind" , "what famous model was married to billy joel" 
"NUM:money" , "how much money are dumbo ears insured for" 
"HUM:ind" , "who danced into stardom with fred astaire in you never get rich" 
"HUM:ind" , "who is the fastest swimmer in the world" 
"LOC:mount" , "what is the highest peak in africa" 
"LOC:other" , "where is procter gamble headquartered in the" 
"LOC:other" , "what desert has been called the garden of allah" 
"NUM:count" , "how many miles is it to ohio from north carolina" 
"NUM:count" , "how much snow equals an inch of rain" 
"NUM:date" , "when does the average teenager first have intercourse" 
"HUM:ind" , "what actor autobiography is titled all my yesterdays" 
"HUM:ind" , "what russian master spy lived in the under the name emil goldfus" 
"LOC:other" , "where the hole on a golf course" 
"HUM:ind" , "who played the original charlie angels" 
"LOC:other" , "where can i find a person address from a telephone number" 
"LOC:other" , "where did sarge steel get his metal hand" 
"HUM:ind" , "who wrote the night of the iguana" 
"LOC:country" , "what country did king gustav v reign over from to" 
"HUM:ind" , "who painted mother and child" 
"NUM:speed" , "what is the speed of the mississippi river" 
"LOC:other" , "in what area of the world was the six day war fought" 
"LOC:other" , "what is the brightest star visible from earth" 
"HUM:ind" , "what was mao second name" 
"LOC:other" , "where do hyenas live" 
"HUM:ind" , "who has more dna a man or a woman" 
"NUM:count" , "how many referees work a soccer game" 
"NUM:date" , "when is the tulip festival in michigan" 
"HUM:ind" , "who came up with the name el nino" 
"HUM:ind" , "what dictator has the nickname el maximo" 
"LOC:city" , "what city is the queen of the pacific" 
"HUM:ind" , "what tv sitcom character had the maiden name ethel potter" 
"HUM:ind" , "who kept the most famous diary in the english language" 
"LOC:other" , "where can i find out the top singles" 
"NUM:count" , "how many degrees cooler is the inside of a cucumber than the air outside" 
"HUM:ind" , "what spanish artist painted crucifixion" 
"HUM:ind" , "what spy novelist served as moscow correspondent for reuter and the times of london" 
"NUM:period" , "how long does it take for web to evaporate" 
"HUM:ind" , "who was randy steven craft lawyer" 
"LOC:other" , "what was known as the spice island" 
"HUM:ind" , "who was the first host of person to person" 
"HUM:ind" , "name the ranger who was always after yogi bear" 
"HUM:ind" , "who is the superstar in" 
"LOC:city" , "mccarren airport is located in what city" 
"NUM:perc" , "what fraction of a beaver life is spent swimming" 
"LOC:country" , "what country has the largest sheep population" 
"LOC:country" , "what country is the world largest importer of cognac" 
"NUM:count" , "how many years is johnnie walker black label aged" 
"NUM:money" , "how much would a stamp be worth thomas jefferson on it" 
"LOC:country" , "what country has the most time zones with" 
"HUM:ind" , "who is the president of stanford university" 
"HUM:ind" , "whose first presidential order was let get this goddamn thing airborne" 
"LOC:city" , "what city is logan airport in" 
"NUM:count" , "how many innings are there in a regulation softball game" 
"NUM:date" , "when did cnn go on the air" 
"LOC:city" , "what is the largest city on the great lakes" 
"NUM:code" , "what is the telephone number for the university of kentucky" 
"HUM:ind" , "who invented baseball" 
"NUM:count" , "how many wives did brigham young have" 
"NUM:dist" , "how long is the coney island boardwalk" 
"LOC:city" , "what city gained renown for its fogs" 
"HUM:ind" , "who was shot in the back during a poker game in deadwood the dakota territory" 
"NUM:count" , "how many colleges are in wyoming" 
"LOC:city" , "what russian seaport has a name meaning lord of the east" 
"LOC:other" , "where can stocks be traded" 
"NUM:date" , "when was the battle of hastings" 
"NUM:date" , "when did muhammad live" 
"LOC:mount" , "where do people mountain climb in nepal" 
"LOC:country" , "what are the nordic nations" 
"LOC:other" , "where on the internet can i get information about the fifth amendment on the american bill of rights" 
"LOC:state" , "what state borders illinois to the north" 
"NUM:temp" , "what is the temperature for baking peachy oat muffins" 
"LOC:other" , "where did the myth of santa claus originate" 
"LOC:city" , "what city is served by logan international airport" 
"HUM:ind" , "what wrestling star became the incredible hulk" 
"LOC:other" , "what attracts tourists to reims" 
"HUM:ind" , "who was the star of the broadway hit golden boy" 
"LOC:other" , "where is procter gamble based in the" 
"LOC:other" , "what is the web address of the list of addresses of members of the house of representatives" 
"HUM:ind" , "what was her real name" 
"HUM:ind" , "who invented the toothbrush" 
"LOC:other" , "where is the abominable snowman said to wander" 
"NUM:count" , "how many dots make up the symbol for because" 
"NUM:count" , "how many hearts does an octopus have" 
"LOC:country" , "what was the only country you were allowed to drive into israel from in" 
"HUM:ind" , "what baseball star turned down a contract because he felt he had earned it" 
"HUM:ind" , "what video game hero do some of his fans call chomper" 
"NUM:count" , "how many holes are there in a tenpin bowling ball" 
"LOC:other" , "in what city or state do the most gay men live in" 
"HUM:ind" , "what tv comediennes characters include former movie star nora desmond secretary wiggins and a housewife named eunice" 
"NUM:perc" , "what percentage of the body is muscle" 
"NUM:money" , "what does an average daycare provider get paid in new england" 
"HUM:ind" , "who played the ringo kid in the film stagecoach" 
"HUM:ind" , "who died feet from where john kennedy did" 
"NUM:date" , "when is the site going to open" 
"HUM:ind" , "what first name was nipsy russell given at birth" 
"HUM:ind" , "who is the youngest of the beatles" 
"LOC:other" , "where can i find the best free evidence for debate about russia" 
"LOC:other" , "what is bill gates of microsoft address" 
"LOC:city" , "what russian city boasts the hermitage museum" 
"NUM:date" , "when is bastille day" 
"NUM:count" , "how many shots can a stock hold" 
"HUM:ind" , "who was the first holy roman emperor" 
"NUM:date" , "what day of the week sees the most fatal car accidents" 
"LOC:other" , "where is trinidad" 
"HUM:ind" , "who graced the airwaves with such pearls as do ya me get naked baby" 
"HUM:ind" , "who portrayed portly criminologist carl hyatt on checkmate" 
"NUM:speed" , "how fast is light" 
"NUM:date" , "when was the first american encyclopedia published" 
"LOC:other" , "what the tallest building in new york city" 
"LOC:other" , "where can i find information on the narragansett indians and other tribes in rhode island" 
"NUM:count" , "how many quarters equal a pound" 
"HUM:ind" , "what are the first names of rowan and martin the stars of tv" 
"NUM:ord" , "what chapter of the bible has the most verses" 
"HUM:ind" , "who is the worst us president ever" 
"HUM:ind" , "what asian leader was known as the little brown saint" 
"NUM:speed" , "how fast does the fastest car go" 
"LOC:mount" , "what is the highest mountain in the world" 
"LOC:other" , "what arch can you see from the place de la concorde" 
"HUM:ind" , "who sings the song drink to me with thine eyes by ben johnson" 
"NUM:period" , "how long should a person wash their hands before they are clean" 
"LOC:other" , "which way do you turn your bic to increase the flame clockwise or counterclockwise" 
"LOC:country" , "which is the wealthiest country in the world" 
"HUM:ind" , "who is the monarch of the united kingdom" 
"HUM:ind" , "what are the top ten most common girl names in the us" 
"LOC:country" , "which country is australia largest export market" 
"LOC:other" , "where is the kentucky horse park located" 
"HUM:ind" , "who does data collection in tourism" 
"HUM:ind" , "what was the name of the daughter of the virginia chief powhatan that married john rolfe" 
"LOC:state" , "what is the leading pecan and peanut growing state" 
"HUM:ind" , "who were the four famous founders of united artists" 
"NUM:count" , "how many sperm cells are in an average ejaculation" 
"NUM:dist" , "how far do you have to run if you hit a home run" 
"HUM:ind" , "who was the only president to wear a nazi uniform" 
"LOC:other" , "where are the tropical rain forest distributions" 
"HUM:ind" , "what the nickname of oddsmaker jimmy snyder" 
"NUM:other" , "what was the number of people that randy steven craft was convicted of killing" 
"NUM:dist" , "how far can a man travel in outer space" 
"LOC:other" , "where was lincoln assassinated" 
"NUM:count" , "what was the highway death toll in" 
"HUM:ind" , "whose autobiography is titled yes i can" 
"NUM:date" , "what year did the united states pass the copyright law" 
"NUM:perc" , "what percentage of americans own their homes" 
"NUM:date" , "what the first day of the week" 
"LOC:city" , "what city was president william mckinley shot in" 
"LOC:city" , "what city has the world longest subway system" 
"HUM:ind" , "who claimed he killed buffalo as food for the crew building the kansas pacific railway" 
